高 B-NAME
勇 I-NAME
： O
男 O
， O
中 B-CONT
国 I-CONT
国 I-CONT
籍 I-CONT
， O
无 O
境 O
外 O
居 O
留 O
权 O
， O

1 O
9 O
6 O
6 O
年 O
出 O
生 O
， O
汉 B-RACE
族 I-RACE
， O
中 B-TITLE
共 I-TITLE
党 I-TITLE
员 I-TITLE
， O
本 B-EDU
科 I-EDU
学 I-EDU
历 I-EDU
， O
工 B-TITLE
程 I-TITLE
师 I-TITLE
、 O
美 B-ORG
国 I-ORG
项 I-ORG
目 I-ORG
管 I-ORG
理 I-ORG
协 I-ORG
会 I-ORG
注 B-TITLE
册 I-TITLE
会 I-TITLE
员 I-TITLE
（ O
P B-TITLE
M I-TITLE
I I-TITLE
M I-TITLE
e I-TITLE
m I-TITLE
b I-TITLE
e I-TITLE
r I-TITLE
） O
、 O
注 B-TITLE
册 I-TITLE
项 I-TITLE
目 I-TITLE
管 I-TITLE
理 I-TITLE
专 I-TITLE
家 I-TITLE
（ O
P B-TITLE
M I-TITLE
P I-TITLE
） O
、 O
项 B-TITLE
目 I-TITLE
经 I-TITLE
理 I-TITLE
。 O

2 O
0 O
0 O
7 O
年 O
1 O
0 O
月 O
至 O
今 O
任 O
人 B-ORG
和 I-ORG
投 I-ORG
资 I-ORG
董 B-TITLE
事 I-TITLE
； O
